Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
189965, 244, 0, 32.265200, 31.961500, 31.902700, 31.902700, 99.06, 99.82, 100.00
190046, 229, 0, 35.628900, 35.097960, 35.021790, 35.021790, 98.51, 99.78, 100.00
190116, 315, 0, 45.396880, 44.794540, 44.726300, 44.726300, 98.67, 99.85, 100.00
190119, 13, 0, 1.300790, 1.254980, 1.254980, 1.254980, 96.48, 100.00, 100.00
190120, 169, 0, 16.800260, 16.664020, 16.654030, 16.654030, 99.19, 99.94, 100.00
190236, 879, 0, 98.054297, 96.538044, 96.359324, 96.359324, 98.45, 99.81, 100.00
190256, 838, 0, 99.062669, 97.846608, 97.631109, 97.631109, 98.77, 99.78, 100.00
190297, 4, 0, 0.739682, 0.712037, 0.709350, 0.709350, 96.26, 99.62, 100.00
190300, 625, 0, 69.928200, 68.352300, 68.280200, 68.280200, 97.75, 99.89, 100.00
190343, 518, 0, 65.995100, 65.252540, 65.060560, 65.060550, 98.87, 99.71, 100.00
190608, 26, 0, 4.763993, 4.692943, 4.680713, 4.680713, 98.51, 99.74, 100.00
190611, 173, 0, 26.894540, 26.451290, 26.346460, 26.346460, 98.35, 99.60, 100.00
190618, 805, 0, 75.663345, 74.326780, 74.213480, 74.213480, 98.23, 99.85, 100.00
190643, 80, 0, 13.578494, 12.906078, 12.860758, 12.860758, 95.05, 99.65, 100.00
190644, 310, 0, 43.819233, 43.212456, 43.019276, 43.019276, 98.62, 99.55, 100.00
190661, 22, 0, 3.927380, 3.879570, 3.861540, 3.861540, 98.78, 99.54, 100.00
190689, 245, 0, 38.466421, 37.899339, 37.750381, 37.750381, 98.53, 99.61, 100.00
190872, 369, 0, 53.626070, 52.609865, 52.505715, 52.505715, 98.11, 99.80, 100.00
190878, 348, 0, 33.291328, 32.898519, 32.858059, 32.858059, 98.82, 99.88, 100.00
190933, 750, 0, 91.627057, 89.939129, 89.689743, 89.689843, 98.16, 99.72, 100.00
190934, 7, 0, 0.505044, 0.488734, 0.488734, 0.488734, 96.77, 100.00, 100.00
190975, 273, 0, 40.372303, 38.469209, 38.118424, 38.118425, 95.29, 99.09, 100.00
191138, 68, 0, 11.384570, 11.204210, 11.143720, 11.143720, 98.42, 99.46, 100.00
191139, 656, 0, 78.990981, 77.217679, 77.016921, 77.016921, 97.76, 99.74, 100.00
191149, 64, 0, 11.102360, 10.716562, 10.680082, 10.680082, 96.53, 99.66, 100.00
191150, 154, 0, 26.790100, 26.328100, 26.247100, 26.247100, 98.28, 99.69, 100.00
191190, 969, 0, 115.997030, 113.411710, 113.299710, 113.299710, 97.77, 99.90, 100.00
191217, 5, 0, 0.880381, 0.763496, 0.758214, 0.758214, 86.72, 99.31, 100.00
191218, 10, 0, 1.345700, 1.169060, 1.164040, 1.164040, 86.87, 99.57, 100.00
191235, 25, 0, 4.907220, 4.810250, 4.784830, 4.784830, 98.02, 99.47, 100.00
191239, 128, 0, 19.487250, 19.179790, 19.146310, 19.146310, 98.42, 99.83, 100.00
191425, 50, 0, 7.936570, 7.849890, 7.844500, 7.844500, 98.91, 99.93, 100.00
191426, 847, 0, 104.366070, 101.405525, 101.326635, 101.326735, 97.16, 99.92, 100.00
191428, 124, 0, 21.787599, 21.292026, 21.227316, 21.227316, 97.73, 99.70, 100.00
191513, 92, 0, 16.322266, 14.464168, 14.448948, 14.448948, 88.62, 99.89, 100.00
191517, 225, 0, 27.605140, 27.367400, 27.325610, 27.325610, 99.14, 99.85, 100.00
191635, 177, 0, 31.101240, 30.612252, 30.570947, 30.570947, 98.43, 99.87, 100.00
191676, 39, 0, 7.469663, 7.244658, 7.170855, 7.170855, 96.99, 98.98, 100.00
191715, 308, 0, 47.393900, 46.761070, 46.670710, 46.670710, 98.66, 99.81, 100.00
191920, 141, 0, 24.415190, 23.454590, 23.436470, 23.436470, 96.07, 99.92, 100.00
191933, 230, 0, 40.852764, 39.859094, 39.730264, 39.730264, 97.57, 99.68, 100.00
Total, 62415, 0, 4690.910000, 4592.120000, 4579.440000, 4579.440000, 97.89, 99.72, 100.00
